[[(2.0075892434439346, 2.104213948679329), (0.007454346590403137, 2.1038077136586733), (0.0010269039311647165, 1.804469854173282), (2.006920996794566, 1.808473645477598)], [(2.0082366062365162, 0.30097821889772913), (0.0008125177493239744, 0.3003534729486221), (0.00299654933193243, 0.00430731065040721), (2.0019490977612384, 0.0056249835725773)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
2.75 (1.4981310367584229,0.9960035085678101) (0.12592127919197083,0.013928303495049477) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11016337711501775 (2.5987207889556885,0.27819788455963135) (0.1431509405374527,-0.04970617592334747) 0.12527471780776978 0.2986724341545399 (2.666187286376953,0.7392447590827942) (0.11338211596012115,-0.034681472927331924) 0.1586906760931015 -0.20271423525056328 (2.7425146102905273,1.3133801221847534) (0.21416543424129486,0.055353306233882904) 0.18473780155181885 -0.17793033935742988 (3.1946282386779785,1.8718454837799072) (0.3491300940513611,0.09811854362487793) 0.19806556403636932 0.23145983981192386 (1.4965113690598264,1.8074548610679753) (0,0) 1e-07 0.03619863419290442 (1.4983473903309061,0.3008195323381938) (0,0) 1e-07 0.03619863419290442 
3.0 (1.5304685831069946,0.999580442905426) (0.12935015559196472,0.014307734556496143) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11016459099322042 (2.6345086097717285,0.2657713294029236) (0.1431509256362915,-0.04970617592334747) 0.12527471780776978 0.2986724341545399 (2.694532871246338,0.730574369430542) (0.11338213086128235,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.796056032180786,1.3272184133529663) (0.21416541934013367,0.0553533136844635) 0.18473780155181885 -0.17793033935742988 (3.2819106578826904,1.896375060081482) (0.3491300940513611,0.09811852872371674) 0.19806556403636932 0.23145983981192386 (1.5288559261539876,1.807519421234385) (0,0) 1e-07 0.03619863419290442 (1.5306860467526213,0.3008295967011328) (0,0) 1e-07 0.03619863419290442 
3.25 (1.5629072189331055,1.003159523010254) (0.1297546625137329,0.014316476881504059) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10989048068521413 (2.6702964305877686,0.2533447742462158) (0.1431509256362915,-0.04970618337392807) 0.12527471780776978 0.2986724341545399 (2.7228784561157227,0.7219039797782898) (0.11338212341070175,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.849597454071045,1.3410567045211792) (0.21416541934013367,0.055353328585624695) 0.18473780155181885 -0.17793033935742988 (3.3691930770874023,1.9209046363830566) (0.3491300940513611,0.09811853617429733) 0.19806556403636932 0.23145983981192386 (1.5613015766059049,1.8075841831844823) (0,0) 1e-07 0.03619863419290442 (1.5631257933098848,0.30083969252511333) (0,0) 1e-07 0.03619863419290442 
3.5 (1.5956834554672241,1.0067768096923828) (0.13110488653182983,0.01446915790438652) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10991839370735694 (2.7060842514038086,0.24091823399066925) (0.1431509256362915,-0.04970618709921837) 0.12527471780776978 0.2986724341545399 (2.7512240409851074,0.7132335901260376) (0.11338212341070175,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.9031388759613037,1.354894995689392) (0.21416541934013367,0.05535333231091499) 0.18473780155181885 -0.17793033935742988 (3.4564754962921143,1.945434331893921) (0.3491300940513611,0.09811854362487793) 0.19806556403636932 0.23145983981192386 (1.5940849026813435,1.8076496191396179) (0,0) 1e-07 0.03619863419290442 (1.5959031524330203,0.3008498934201071) (0,0) 1e-07 0.03619863419290442 
3.75 (1.6267939805984497,1.010201334953308) (0.12444192171096802,0.013698328286409378) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1096366764012579 (2.7418720722198486,0.2284916788339615) (0.1431509256362915,-0.049706194549798965) 0.12527471780776978 0.2986724341545399 (2.779569625854492,0.7045632004737854) (0.11338211596012115,-0.034681469202041626) 0.1586906760931015 -0.20271423525056328 (2.9566802978515625,1.368733286857605) (0.21416540443897247,0.05535334721207619) 0.18473780155181885 -0.17793033935742988 (3.543757915496826,1.9699639081954956) (0.3491300940513611,0.09811849147081375) 0.19806556403636932 0.23145983981192386 (1.625202139237343,1.8077117295579) (0,0) 1e-07 0.03619863419290442 (1.627014740323833,0.3008595758975749) (0,0) 1e-07 0.03619863419290442 
4.0 (1.6586393117904663,1.013698935508728) (0.12738117575645447,0.013990359380841255) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1093922142322264 (2.7776598930358887,0.21606512367725372) (0.1431509256362915,-0.049706198275089264) 0.12527471780776978 0.2986724341545399 (2.807915210723877,0.6958928108215332) (0.11338212341070175,-0.034681472927331924) 0.1586906760931015 -0.20271423525056328 (3.0102217197418213,1.3825715780258179) (0.21416540443897247,0.05535336211323738) 0.18473780155181885 -0.17793033935742988 (3.631040334701538,1.9944934844970703) (0.34913012385368347,0.09811851382255554) 0.19806556403636932 0.23145983981192386 (1.6570543247853058,1.807775306944151) (0,0) 1e-07 0.03619863419290442 (1.6588611569465908,0.3008694870667657) (0,0) 1e-07 0.03619863419290442 
4.25 (1.6904922723770142,1.0171931982040405) (0.12741191685199738,0.013976935297250748) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10926192506841474 (2.8134477138519287,0.20363856852054596) (0.1431509256362915,-0.04970621317625046) 0.12527471780776978 0.2986724341545399 (2.8362607955932617,0.687222421169281) (0.11338211596012115,-0.034681469202041626) 0.1586906760931015 -0.20271423525056328 (3.06376314163208,1.3964098691940308) (0.21416541934013367,0.05535338073968887) 0.18473780155181885 -0.17793033935742988 (3.71832275390625,2.0190231800079346) (0.3491300940513611,0.09811850637197495) 0.19806556403636932 0.23145983981192386 (1.688914133035018,1.8078388995454158) (0,0) 1e-07 0.03619863419290442 (1.6907152019243394,0.3008794006100357) (0,0) 1e-07 0.03619863419290442 
4.5 (1.7228223085403442,1.0207430124282837) (0.1293199360370636,0.014199366793036461) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10936220248893219 (2.8492355346679688,0.1912120133638382) (0.1431509256362915,-0.04970621317625046) 0.12527471780776978 0.2986724341545399 (2.8646063804626465,0.6785520315170288) (0.11338212341070175,-0.034681469202041626) 0.1586906760931015 -0.20271423525056328 (3.117304563522339,1.4102481603622437) (0.21416540443897247,0.05535339191555977) 0.18473780155181885 -0.17793033935742988 (3.7921087741851807,2.039759874343872) (0.29514437913894653,0.08294642716646194) 0.19806556403636932 0.23145983981192386 (1.7212511258419667,1.8079034446134077) (0,0) 1e-07 0.03619863419290442 (1.7230463397212812,0.30088946263304545) (0,0) 1e-07 0.03619863419290442 
4.75 (1.756624460220337,1.0244709253311157) (0.1352086365222931,0.01491165068000555) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10984232522101835 (2.885023355484009,0.17878545820713043) (0.1431509107351303,-0.049706216901540756) 0.12527471780776978 0.2986724341545399 (2.8929519653320312,0.6698816418647766) (0.11338212341070175,-0.034681469202041626) 0.1586906760931015 -0.20271423525056328 (3.1708459854125977,1.424086570739746) (0.21416540443897247,0.05535340681672096) 0.18473780155181885 -0.17793033935742988 (3.8474483489990234,2.055312395095825) (0.22135837376117706,0.062209732830524445) 0.19806556403636932 0.23145983981192386 (1.7550605837865079,1.80797092874141) (0,0) 1e-07 0.03619863419290442 (1.7568496483197609,0.3008999828216964) (0,0) 1e-07 0.03619863419290442 
5.0 (1.7838385105133057,1.027452826499939) (0.10885605216026306,0.01192771177738905) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10913786245101857 (2.920811176300049,0.16635890305042267) (0.1431509107351303,-0.04970623180270195) 0.12527471780776978 0.2986724341545399 (2.921297550201416,0.6612112522125244) (0.11338211596012115,-0.03468146547675133) 0.1586906760931015 -0.20271423525056328 (3.2243874073028564,1.4379249811172485) (0.21416541934013367,0.05535340681672096) 0.18473780155181885 -0.17793033935742988 (3.8889529705047607,2.06697678565979) (0.1660187989473343,0.04665721207857132) 0.19806556403636932 0.23145983981192386 (1.7822804775479548,1.8080252600116073) (0,0) 1e-07 0.03619863419290442 (1.784064623997268,0.3009084526043931) (0,0) 1e-07 0.03619863419290442 
5.25 (1.8119654655456543,1.0305341482162476) (0.11250768601894379,0.01232532411813736) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10911582573541788 (2.956598997116089,0.1539323478937149) (0.1431509107351303,-0.049706246703863144) 0.12527471780776978 0.2986724341545399 (2.949643135070801,0.6525408625602722) (0.11338213086128235,-0.034681469202041626) 0.1586906760931015 -0.20271423525056328 (3.2779288291931152,1.4517632722854614) (0.21416540443897247,0.05535338819026947) 0.18473780155181885 -0.17793033935742988 (3.920081615447998,2.0757250785827637) (0.12451416999101639,0.034992821514606476) 0.19806556403636932 0.23145983981192386 (1.810413470855666,1.8080814138406507) (0,0) 1e-07 0.03619863419290442 (1.8121925352671675,0.30091720650882386) (0,0) 1e-07 0.03619863419290442 
5.5 (1.8395087718963623,1.033545970916748) (0.11017336696386337,0.012047459371387959) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10891726765300283 (2.992386817932129,0.14150577783584595) (0.1431509107351303,-0.04970625415444374) 0.12527471780776978 0.2986724341545399 (2.9779887199401855,0.64387047290802) (0.11338212341070175,-0.03468146547675133) 0.1586906760931015 -0.20271423525056328 (3.331470251083374,1.4656016826629639) (0.21416540443897247,0.05535341426730156) 0.18473780155181885 -0.17793033935742988 (3.943568706512451,2.08266544342041) (0.09394875168800354,0.027761276811361313) 0.19806556403636932 0.23145983981192386 (1.8379626790866166,1.8081364024269118) (0,0) 1e-07 0.03619863419290442 (1.8397367762826333,0.30092577876472854) (0,0) 1e-07 0.03619863419290442 
5.75 (1.8671770095825195,1.036570429801941) (0.11067303270101547,0.012097771279513836) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10887863635509078 (3.028174638748169,0.129079207777977) (0.1431509107351303,-0.049706269055604935) 0.12527471780776978 0.2986724341545399 (3.0063343048095703,0.6352000832557678) (0.11338211596012115,-0.03468146547675133) 0.1586906760931015 -0.20271423525056328 (3.385011672973633,1.4794399738311768) (0.21416540443897247,0.05535339191555977) 0.18473780155181885 -0.17793033935742988 (3.961043357849121,2.087491512298584) (0.06989843398332596,0.01930416375398636) 0.19806556403636932 0.23145983981192386 (1.8656368433771757,1.8081916404271305) (0,0) 1e-07 0.03619863419290442 (1.867405952554052,0.3009343899026987) (0,0) 1e-07 0.03619863419290442 
6.0 (1.8938093185424805,1.0394752025604248) (0.10652944445610046,0.011619003489613533) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10863904034711337 (3.063962459564209,0.11665263772010803) (0.1431509107351303,-0.04970628395676613) 0.12527471780776978 0.2986724341545399 (3.034679889678955,0.6265296936035156) (0.11338211596012115,-0.03468146547675133) 0.1586906760931015 -0.20271423525056328 (3.4385530948638916,1.4932783842086792) (0.21416540443897247,0.055353425443172455) 0.18473780155181885 -0.17793033935742988 (3.974149227142334,2.091110944747925) (0.052423782646656036,0.01447809487581253) 0.19806556403636932 0.23145983981192386 (1.8922748441745834,1.8082448102312276) (0,0) 1e-07 0.03619863419290442 (1.894039162951171,0.3009426786297309) (0,0) 1e-07 0.03619863419290442 
6.25 (1.9209153652191162,1.0424374341964722) (0.10842438042163849,0.011849120259284973) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10885267230557343 (3.099750280380249,0.10422606021165848) (0.14315088093280792,-0.04970631003379822) 0.12527471780776978 0.2986724341545399 (3.06302547454834,0.6178593039512634) (0.11338212341070175,-0.03468146175146103) 0.1586906760931015 -0.20271423525056328 (3.4920945167541504,1.5071167945861816) (0.21416540443897247,0.05535341426730156) 0.18473780155181885 -0.17793033935742988 (3.983978748321533,2.093825578689575) (0.039317913353443146,0.01085866242647171) 0.19806556403636932 0.23145983981192386 (1.919386695489497,1.808298925847264) (0,0) 1e-07 0.03619863419290442 (1.9211461289012994,0.30095111479788644) (0,0) 1e-07 0.03619863419290442 
6.5 (1.9486784934997559,1.0454680919647217) (0.11105228215456009,0.01212241593748331) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10872903821291366 (3.135538101196289,0.09179947525262833) (0.14315088093280792,-0.04970633238554001) 0.12527471780776978 0.2986724341545399 (3.0913710594177246,0.6091889142990112) (0.11338212341070175,-0.03468146175146103) 0.1586906760931015 -0.20271423525056328 (3.545635938644409,1.5209550857543945) (0.21416540443897247,0.05535339191555977) 0.18473780155181885 -0.17793033935742988 (3.9913508892059326,2.0958616733551025) (0.029488394036889076,0.00814402848482132) 0.19806556403636932 0.23145983981192386 (1.947155762369493,1.8083543532743143) (0,0) 1e-07 0.03619863419290442 (1.9489101976872119,0.30095975546808873) (0,0) 1e-07 0.03619863419290442 
6.75 (1.9757037162780762,1.0484317541122437) (0.10810105502605438,0.011854676529765129) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10922645699995259 (3.171325922012329,0.07937288284301758) (0.14315086603164673,-0.049706362187862396) 0.12527471780776978 0.2986724341545399 (3.1197166442871094,0.600518524646759) (0.11338211596012115,-0.03468145802617073) 0.1586906760931015 -0.20271423525056328 (3.599177360534668,1.534793496131897) (0.21416538953781128,0.05535343289375305) 0.18473780155181885 -0.17793033935742988 (3.996880054473877,2.097388744354248) (0.022116253152489662,0.006107933819293976) 0.19806556403636932 0.23145983981192386 (1.9741867929634063,1.8084083075711157) (0,0) 1e-07 0.03619863419290442 (1.9759363401920538,0.3009681664825558) (0,0) 1e-07 0.03619863419290442 
7.0 (2.0026941299438477,1.051386833190918) (0.10796166956424713,0.011820295825600624) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10905168441876523 (3.1983749866485596,0.06998064368963242) (0.10819591581821442,-0.037568967789411545) 0.12527471780776978 0.2986724341545399 (3.148062229156494,0.5918481349945068) (0.11338212341070175,-0.03468145802617073) 0.1586906760931015 -0.20271423525056328 (3.6527187824249268,1.5486319065093994) (0.21416540443897247,0.05535341426730156) 0.18473780155181885 -0.17793033935742988 (4.001026630401611,2.098533868789673) (0.016587087884545326,0.004580862820148468) 0.19806556403636932 0.23145983981192386 (2.001182997451601,1.8084621923545467) (0,0) 1e-07 0.03619863419290442 (2.0029276709165154,0.30097656666298) (0,0) 1e-07 0.03619863419290442 
7.25 (2.0298023223876953,1.0543473958969116) (0.10843297094106674,0.01184241846203804) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10878303951141387 (3.2186617851257324,0.0629364624619484) (0.08114685118198395,-0.028176728636026382) 0.12527471780776978 0.2986724341545399 (3.176407814025879,0.5831777453422546) (0.11338212341070175,-0.03468145802617073) 0.1586906760931015 -0.20271423525056328 (3.7062602043151855,1.5624701976776123) (0.21416540443897247,0.05535338073968887) 0.18473780155181885 -0.17793033935742988 (4.004136562347412,2.099392890930176) (0.012440511025488377,0.003435738617554307) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
7.5 (2.0558717250823975,1.0572130680084229) (0.10427796840667725,0.011462731286883354) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10948519171689561 (3.2338767051696777,0.05765332654118538) (0.060860052704811096,-0.02113254740834236) 0.12527471780776978 0.2986724341545399 (3.2047533988952637,0.5745073556900024) (0.11338212341070175,-0.03468145802617073) 0.1586906760931015 -0.20271423525056328 (3.759665012359619,1.5762732028961182) (0.21361903846263885,0.05521223694086075) 0.18473780155181885 -0.17793033935742988 (4.006469249725342,2.100037097930908) (0.009330579079687595,0.0025767164770513773) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
7.75 (2.082357406616211,1.0601491928100586) (0.10594308376312256,0.011744598858058453) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11040682132471691 (3.2452878952026367,0.05369097366929054) (0.045645132660865784,-0.015849411487579346) 0.12527471780776978 0.2986724341545399 (3.2330989837646484,0.5658369660377502) (0.11338213086128235,-0.03468145802617073) 0.1586906760931015 -0.20271423525056328 (3.7997186183929443,1.5866254568099976) (0.16021423041820526,0.04140923172235489) 0.18473780155181885 -0.17793033935742988 (4.008218765258789,2.100520133972168) (0.006997891701757908,0.0019325093599036336) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
8.0 (2.108548402786255,1.0630440711975098) (0.10476420819759369,0.011579512618482113) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1100824500225988 (3.2538464069366455,0.050719209015369415) (0.0342339426279068,-0.011887057684361935) 0.12527471780776978 0.2986724341545399 (3.261444568634033,0.557166576385498) (0.11338213086128235,-0.03468145430088043) 0.1586906760931015 -0.20271423525056328 (3.829758882522583,1.5943896770477295) (0.12016061693429947,0.031056977808475494) 0.18473780155181885 -0.17793033935742988 (4.009531021118164,2.1008825302124023) (0.005248376168310642,0.001449473318643868) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
8.25 (2.134368658065796,1.0658921003341675) (0.1032811850309372,0.011391970328986645) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10985646255623358 (3.260265350341797,0.048490386456251144) (0.02567543089389801,-0.008915293030440807) 0.12527471780776978 0.2986724341545399 (3.289790153503418,0.5484961867332458) (0.11338212341070175,-0.034681450575590134) 0.1586906760931015 -0.20271423525056328 (3.8522889614105225,1.600212812423706) (0.0901203528046608,0.02329275757074356) 0.18473780155181885 -0.17793033935742988 (4.010515213012695,2.101154327392578) (0.003936120308935642,0.001087077078409493) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
