[[(2.0064744719410026, 2.101604497819959), (0.00038509604584085035, 2.1064656350411526), (0.0005446423300984971, 1.8079492627411193), (2.007846911196081, 1.8001999580859622)], [(2.0021420776889833, 0.30221852059434323), (0.004522861271521401, 0.3030903707812568), (0.0009300800115368768, 0.009711411586767048), (2.000973009133666, 0.00019773213988619754)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
2.75 (1.434564232826233,1.1058512926101685) (0.07148884236812592,0.05111066997051239) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6206866404180574 (2.8725149631500244,0.23662909865379333) (0.23874635994434357,-0.10477914661169052) 0.15635640919208527 0.35764088938443117 (3.0767486095428467,0.4549245536327362) (0.2890821695327759,-0.15910840034484863) 0.14137858152389526 -0.10781594814733148 (2.762760877609253,1.5071511268615723) (0.21422022581100464,0.11704611778259277) 0.1963244080543518 0.027546156738505467 (3.4115102291107178,1.9869074821472168) (0.37692883610725403,0.10693918913602829) 0.16506817936897278 -0.36652612026507486 (1.437253309438169,1.8024027671610516) (0,0) 1e-07 0.1458798393392846 (1.4342135997967707,0.3024663899307685) (0,0) 1e-07 0.1458798393392846 
3.0 (1.4527019262313843,1.1189724206924438) (0.07255075871944427,0.05248439311981201) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6262692692101589 (2.932201623916626,0.21043430268764496) (0.23874637484550476,-0.10477916151285172) 0.15635640919208527 0.35764088938443117 (3.1489322185516357,0.414989709854126) (0.28873398900032043,-0.1597393900156021) 0.14137858152389526 -0.10781594814733148 (2.8163158893585205,1.5364125967025757) (0.21422024071216583,0.11704609543085098) 0.1963244080543518 0.027546156738505467 (3.5057425498962402,2.0136423110961914) (0.37692883610725403,0.10693918913602829) 0.16506817936897278 -0.36652612026507486 (1.4553400784181754,1.8023329421599905) (0,0) 1e-07 0.1458798393392846 (1.4523455631021367,0.3024584763326879) (0,0) 1e-07 0.1458798393392846 
3.25 (1.470936894416809,1.1322181224822998) (0.07293997704982758,0.05298297107219696) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6282196003133588 (2.9918882846832275,0.18423950672149658) (0.23874637484550476,-0.1047791838645935) 0.15635640919208527 0.35764088938443117 (3.2209949493408203,0.3748372197151184) (0.2882506251335144,-0.16060996055603027) 0.14137858152389526 -0.10781594814733148 (2.869870901107788,1.565674066543579) (0.21422024071216583,0.11704610288143158) 0.1963244080543518 0.027546156738505467 (3.5999748706817627,2.040377140045166) (0.37692883610725403,0.10693918913602829) 0.16506817936897278 -0.36652612026507486 (1.4735236398119822,1.802262743486307) (0,0) 1e-07 0.1458798393392846 (1.470574746799731,0.3024505203032888) (0,0) 1e-07 0.1458798393392846 
3.5 (1.4891963005065918,1.145514726638794) (0.07303769141435623,0.05318635702133179) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6294052802319524 (3.051574945449829,0.1580447107553482) (0.23874635994434357,-0.1047792062163353) 0.15635640919208527 0.35764088938443117 (3.2926816940307617,0.3340176045894623) (0.28674745559692383,-0.1632784605026245) 0.14137858152389526 -0.10781594814733148 (2.9234259128570557,1.5949355363845825) (0.21422024071216583,0.11704611033201218) 0.1963244080543518 0.027546156738505467 (3.694207191467285,2.0671119689941406) (0.37692883610725403,0.1069391742348671) 0.16506817936897278 -0.36652612026507486 (1.4917314422373773,1.8021924512287413) (0,0) 1e-07 0.1458798393392846 (1.488828346180968,0.3024425536177956) (0,0) 1e-07 0.1458798393392846 
3.75 (1.5077400207519531,1.159108281135559) (0.07417502254247665,0.05437404662370682) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6325649679998959 (3.1112616062164307,0.13184989988803864) (0.23874634504318237,-0.10477922856807709) 0.15635640919208527 0.35764088938443117 (3.364032745361328,0.292613685131073) (0.2854039967060089,-0.16561569273471832) 0.14137858152389526 -0.10781594814733148 (2.9769809246063232,1.6241971254348755) (0.21422022581100464,0.11704612523317337) 0.1963244080543518 0.027546156738505467 (3.7884392738342285,2.0938467979431152) (0.37692877650260925,0.1069391742348671) 0.16506817936897278 -0.36652612026507486 (1.5102224082044209,1.8021210658022067) (0,0) 1e-07 0.1458798393392846 (1.5073661300612684,0.30243446290150283) (0,0) 1e-07 0.1458798393392846 
4.0 (1.5272867679595947,1.1738111972808838) (0.07818709313869476,0.058811597526073456) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6449016276359263 (3.1661570072174072,0.10775778442621231) (0.21958181262016296,-0.0963684692978859) 0.15635640919208527 0.35764088938443117 (3.4353837966918945,0.2512097656726837) (0.28540393710136414,-0.16561569273471832) 0.14137858152389526 -0.10781594814733148 (3.030535936355591,1.653458595275879) (0.21422025561332703,0.11704610288143158) 0.1963244080543518 0.027546156738505467 (3.8646199703216553,2.115460157394409) (0.30472248792648315,0.08645331859588623) 0.16506817936897278 -0.36652612026507486 (1.529712103494999,1.8020458247242757) (0,0) 1e-07 0.1458798393392846 (1.5269064565379427,0.30242593463087397) (0,0) 1e-07 0.1458798393392846 
4.25 (1.5461307764053345,1.1877111196517944) (0.07537621259689331,0.055599503219127655) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.635535020315703 (3.2073285579681396,0.08968869596719742) (0.1646864116191864,-0.07227635383605957) 0.15635640919208527 0.35764088938443117 (3.506734848022461,0.20980584621429443) (0.28540393710136414,-0.16561570763587952) 0.14137858152389526 -0.10781594814733148 (3.0840909481048584,1.6827200651168823) (0.21422022581100464,0.11704611033201218) 0.1963244080543518 0.027546156738505467 (3.921755313873291,2.1316702365875244) (0.2285418063402176,0.06483995914459229) 0.16506817936897278 -0.36652612026507486 (1.5485021704540345,1.801973284601338) (0,0) 1e-07 0.1458798393392846 (1.5457443948488323,0.3024177129137907) (0,0) 1e-07 0.1458798393392846 
4.5 (1.565040111541748,1.2017076015472412) (0.0756375789642334,0.05598568916320801) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6371889001019715 (3.2382073402404785,0.07613687962293625) (0.12351485341787338,-0.05420726537704468) 0.15635640919208527 0.35764088938443117 (3.5780858993530273,0.16840191185474396) (0.28540393710136414,-0.1656157523393631) 0.14137858152389526 -0.10781594814733148 (3.137645959854126,1.7119816541671753) (0.21422022581100464,0.11704613268375397) 0.1963244080543518 0.027546156738505467 (3.9652249813079834,2.1439554691314697) (0.17387838661670685,0.049140751361846924) 0.16506817936897278 -0.36652612026507486 (1.567357190362151,1.8019004937238439) (0,0) 1e-07 0.1458798393392846 (1.5646476176950739,0.3024094627036224) (0,0) 1e-07 0.1458798393392846 
4.75 (1.5877774953842163,1.2184423208236694) (0.09094971418380737,0.06693871319293976) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6344787633322333 (3.261366367340088,0.06597301363945007) (0.09263607114553452,-0.04065544903278351) 0.15635640919208527 0.35764088938443117 (3.6469085216522217,0.12846513092517853) (0.27529048919677734,-0.15974710881710052) 0.14137858152389526 -0.10781594814733148 (3.1912009716033936,1.7412431240081787) (0.21422025561332703,0.11704608052968979) 0.1963244080543518 0.027546156738505467 (4.002202987670898,2.1537792682647705) (0.14791154861450195,0.03929510340094566) 0.16506817936897278 -0.36652612026507486 (1.5900296309606108,1.801812965476505) (0,0) 1e-07 0.1458798393392846 (1.587377693429406,0.3023995422840476) (0,0) 1e-07 0.1458798393392846 
5.0 (1.6089235544204712,1.234994649887085) (0.08458435535430908,0.06620912998914719) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6641391097068698 (3.278735637664795,0.05835011601448059) (0.06947704404592514,-0.030491583049297333) 0.15635640919208527 0.35764088938443117 (3.6985254287719727,0.09851254522800446) (0.2064678817987442,-0.1198103278875351) 0.14137858152389526 -0.10781594814733148 (3.244755983352661,1.7705045938491821) (0.21422024071216583,0.11704608052968979) 0.1963244080543518 0.027546156738505467 (4.036341190338135,2.1609747409820557) (0.1365528553724289,0.028782321140170097) 0.16506817936897278 -0.36652612026507486 (1.611111474586753,1.8017315778193068) (0,0) 1e-07 0.1458798393392846 (1.6085165242638606,0.30239031635477004) (0,0) 1e-07 0.1458798393392846 
5.25 (1.6295287609100342,1.2509877681732178) (0.0824209451675415,0.06397245824337006) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6600390532786972 (3.291762590408325,0.05263294279575348) (0.05210777744650841,-0.02286868542432785) 0.15635640919208527 0.35764088938443117 (3.7372381687164307,0.0760481059551239) (0.15485097467899323,-0.08985774219036102) 0.14137858152389526 -0.10781594814733148 (3.288857936859131,1.7946010828018188) (0.1764078289270401,0.09638608992099762) 0.1963244080543518 0.027546156738505467 (4.068756580352783,2.1635098457336426) (0.12966157495975494,0.010140296071767807) 0.16506817936897278 -0.36652612026507486 (1.6316546325597532,1.801652269788732) (0,0) 1e-07 0.1458798393392846 (1.6291147467191436,0.3023813263711184) (0,0) 1e-07 0.1458798393392846 
5.5 (1.649280309677124,1.2659506797790527) (0.07900635153055191,0.059851571917533875) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6483181192199633 (3.301532745361328,0.048345066606998444) (0.039080824702978134,-0.01715151220560074) 0.15635640919208527 0.35764088938443117 (3.766272783279419,0.059199780225753784) (0.11613823473453522,-0.06739330291748047) 0.14137858152389526 -0.10781594814733148 (3.321934461593628,1.8126734495162964) (0.13230587542057037,0.0722896009683609) 0.1963244080543518 0.027546156738505467 (4.096343517303467,2.1652557849884033) (0.11034733057022095,0.0069838762283325195) 0.16506817936897278 -0.36652612026507486 (1.6513481226451696,1.8015762419493966) (0,0) 1e-07 0.1458798393392846 (1.6488597612426528,0.30237270876549) (0,0) 1e-07 0.1458798393392846 
5.75 (1.6686681509017944,1.280535101890564) (0.07755158841609955,0.05833783745765686) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6449367138716022 (3.3088603019714355,0.04512915760278702) (0.029310669749975204,-0.012863636016845703) 0.15635640919208527 0.35764088938443117 (3.78804874420166,0.046563535928726196) (0.08710362017154694,-0.05054497718811035) 0.14137858152389526 -0.10781594814733148 (3.3467419147491455,1.8262277841567993) (0.0992293506860733,0.05421723052859306) 0.1963244080543518 0.027546156738505467 (4.116220474243164,2.1698272228240967) (0.07950752973556519,0.01828584261238575) 0.16506817936897278 -0.36652612026507486 (1.670679371767204,1.8015016125619172) (0,0) 1e-07 0.1458798393392846 (1.6682412334827004,0.3023642498259402) (0,0) 1e-07 0.1458798393392846 
6.0 (1.6873984336853027,1.2945153713226318) (0.07492101192474365,0.055920884013175964) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6411917592928913 (3.3143560886383057,0.04271722584962845) (0.021983113139867783,-0.009647727012634277) 0.15635640919208527 0.35764088938443117 (3.8043806552886963,0.037086352705955505) (0.06532765924930573,-0.037908732891082764) 0.14137858152389526 -0.10781594814733148 (3.365347385406494,1.8363934755325317) (0.07442189753055573,0.040662895888090134) 0.1963244080543518 0.027546156738505467 (4.127107620239258,2.1765146255493164) (0.043548572808504105,0.026749921962618828) 0.16506817936897278 -0.36652612026507486 (1.6893554045791586,1.8014295126742947) (0,0) 1e-07 0.1458798393392846 (1.6869654110859844,0.3023560777591073) (0,0) 1e-07 0.1458798393392846 
6.25 (1.7061715126037598,1.3085880279541016) (0.07509209215641022,0.056290410459041595) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6432568100794012 (3.3184778690338135,0.04090827703475952) (0.016487326472997665,-0.007235794793814421) 0.15635640919208527 0.35764088938443117 (3.816629648208618,0.029978465288877487) (0.048995744436979294,-0.028431549668312073) 0.14137858152389526 -0.10781594814733148 (3.3793015480041504,1.844017744064331) (0.05581642687320709,0.03049720637500286) 0.1963244080543518 0.027546156738505467 (4.129989147186279,2.1825249195098877) (0.0115268025547266,0.024040739983320236) 0.16506817936897278 -0.36652612026507486 (1.7080738762275167,1.801357248949129) (0,0) 1e-07 0.1458798393392846 (1.7057323444941757,0.3023478870317328) (0,0) 1e-07 0.1458798393392846 
6.5 (1.7248185873031616,1.3225914239883423) (0.07458817958831787,0.05601346492767334) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6441214458018697 (3.3215692043304443,0.039551567286252975) (0.012365545146167278,-0.005426845978945494) 0.15635640919208527 0.35764088938443117 (3.8258163928985596,0.0246475487947464) (0.03674675151705742,-0.021323662251234055) 0.14137858152389526 -0.10781594814733148 (3.3897671699523926,1.849735975265503) (0.04186226427555084,0.022872937843203545) 0.1963244080543518 0.027546156738505467 (4.127274513244629,2.185725212097168) (-0.010859224945306778,0.012800700962543488) 0.16506817936897278 -0.36652612026507486 (1.7266666129152382,1.801285470630935) (0,0) 1e-07 0.1458798393392846 (1.7243733039357236,0.30233975128502005) (0,0) 1e-07 0.1458798393392846 
6.75 (1.7439031600952148,1.3366400003433228) (0.07633817940950394,0.05619452893733978) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6345625455060473 (3.323887825012207,0.03853403404355049) (0.009274209849536419,-0.004070136230438948) 0.15635640919208527 0.35764088938443117 (3.8327064514160156,0.020649362355470657) (0.027560008689761162,-0.015992745757102966) 0.14137858152389526 -0.10781594814733148 (3.397616386413574,1.8540246486663818) (0.031396642327308655,0.01715470664203167) 0.1963244080543518 0.027546156738505467 (4.120915412902832,2.185676336288452) (-0.02543572708964348,-0.00019530486315488815) 0.16506817936897278 -0.36652612026507486 (1.7456966667566804,1.8012120040249788) (0,0) 1e-07 0.1458798393392846 (1.7434517416678819,0.302331424603255) (0,0) 1e-07 0.1458798393392846 
7.0 (1.76338791847229,1.3507921695709229) (0.07793904095888138,0.05660851299762726) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6281714305776465 (3.3256266117095947,0.03777088224887848) (0.006955589167773724,-0.0030526029877364635) 0.15635640919208527 0.35764088938443117 (3.837873935699463,0.017650723457336426) (0.020669950172305107,-0.011994559317827225) 0.14137858152389526 -0.10781594814733148 (3.403503179550171,1.857241153717041) (0.023547424003481865,0.012866033241152763) 0.1963244080543518 0.027546156738505467 (4.113976955413818,2.1843323707580566) (-0.027753639966249466,-0.005376223009079695) 0.16506817936897278 -0.36652612026507486 (1.7651265002986876,1.8011369940467352) (0,0) 1e-07 0.1458798393392846 (1.7629303196962884,0.302322923282405) (0,0) 1e-07 0.1458798393392846 
7.25 (1.783124327659607,1.3651243448257446) (0.07894575595855713,0.05732852220535278) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280786672398565 (3.3269307613372803,0.037198521196842194) (0.005216802470386028,-0.0022894511930644512) 0.15635640919208527 0.35764088938443117 (3.841749668121338,0.015401743352413177) (0.015502465888857841,-0.008995920419692993) 0.14137858152389526 -0.10781594814733148 (3.4079184532165527,1.8596535921096802) (0.017660630866885185,0.009649528190493584) 0.1963244080543518 0.027546156738505467 (4.108773231506348,2.1833243370056152) (-0.020815182477235794,-0.004032257478684187) 0.16506817936897278 -0.36652612026507486 (1.7848072859872575,1.801061015253447) (0,0) 1e-07 0.1458798393392846 (1.7826604699243518,0.3023143121642185) (0,0) 1e-07 0.1458798393392846 
7.5 (1.8027069568634033,1.3793448209762573) (0.07833066582679749,0.056881848722696304) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280785859807538 (3.327908992767334,0.03676924854516983) (0.003912652842700481,-0.0017170901410281658) 0.15635640919208527 0.35764088938443117 (3.844656467437744,0.013715008273720741) (0.011626733466982841,-0.006746940314769745) 0.14137858152389526 -0.10781594814733148 (3.4112298488616943,1.8614628314971924) (0.01324535720050335,0.007237089332193136) 0.1963244080543518 0.027546156738505467 (4.104870319366455,2.182568311691284) (-0.015611459501087666,-0.0030242237262427807) 0.16506817936897278 -0.36652612026507486 (1.8043347251985165,1.800985628462962) (0,0) 1e-07 0.1458798393392846 (1.8022368889486526,0.3023057681411909) (0,0) 1e-07 0.1458798393392846 
7.75 (1.8227277994155884,1.393883466720581) (0.08008314669132233,0.05815444514155388) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.628078478829279 (3.3286426067352295,0.03644729405641556) (0.0029344214126467705,-0.0012878174893558025) 0.15635640919208527 0.35764088938443117 (3.846836566925049,0.012449957430362701) (0.008719934150576591,-0.005060205236077309) 0.14137858152389526 -0.10781594814733148 (3.4137134552001953,1.862819790840149) (0.009933961555361748,0.005427849944680929) 0.1963244080543518 0.027546156738505467 (4.101943016052246,2.1820013523101807) (-0.011708547361195087,-0.002268198411911726) 0.16506817936897278 -0.36652612026507486 (1.8242991429336552,1.8009085546920147) (0,0) 1e-07 0.1458798393392846 (1.8222513823744841,0.3022970329229417) (0,0) 1e-07 0.1458798393392846 
8.0 (1.8429652452468872,1.4085793495178223) (0.08094958961009979,0.0587836354970932) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.628078482500651 (3.329192876815796,0.036205828189849854) (0.0022008074447512627,-0.000965863058809191) 0.15635640919208527 0.35764088938443117 (3.8484716415405273,0.011501168832182884) (0.006539834663271904,-0.003795154392719269) 0.14137858152389526 -0.10781594814733148 (3.4155759811401367,1.863837480545044) (0.0074503556825220585,0.004070890601724386) 0.1963244080543518 0.027546156738505467 (4.099747657775879,2.1815760135650635) (-0.008781244046986103,-0.0017012390308082104) 0.16506817936897278 -0.36652612026507486 (1.8444795537061764,1.8008306470676534) (0,0) 1e-07 0.1458798393392846 (1.842482410412915,0.3022882031993228) (0,0) 1e-07 0.1458798393392846 
8.25 (1.8632373809814453,1.4233005046844482) (0.08108876645565033,0.058884721249341965) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280786350309269 (3.3296055793762207,0.036024730652570724) (0.0016505374806001782,-0.0007243971922434866) 0.15635640919208527 0.35764088938443117 (3.8496978282928467,0.010789576917886734) (0.004904760047793388,-0.0028463657945394516) 0.14137858152389526 -0.10781594814733148 (3.4169728755950928,1.8646007776260376) (0.005587829742580652,0.0030532008968293667) 0.1963244080543518 0.027546156738505467 (4.0981011390686035,2.1812570095062256) (-0.006585885304957628,-0.0012759002856910229) 0.16506817936897278 -0.36652612026507486 (1.864694556300984,1.8007526058995933) (0,0) 1e-07 0.1458798393392846 (1.8627481173180096,0.3022793583402986) (0,0) 1e-07 0.1458798393392846 
