[[(2.0096878117552226, 2.100357336475083), (0.007701100720652296, 2.105476745278686), (0.008083490842109983, 1.8013905546665392), (2.0016961946242526, 1.808723794331073)], [(2.007771939163609, 0.30103013783569416), (0.0005328939954915446, 0.3097654715291644), (0.000665166546385887, 0.009073827497138339), (2.006478146918434, 0.0034452273827968185)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
3.0 (1.7652244567871094,1.0185779333114624) (0.12719875574111938,0.014498252421617508) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11349129686328774 (3.495708703994751,0.22669380903244019) (0.37507086992263794,-0.07915609329938889) 0.16762830317020416 -0.04928539206730481 (2.9135818481445312,0.5907885432243347) (0.2689913809299469,-0.06978541612625122) 0.15846817195415497 -0.3700872666708085 (2.8782012462615967,1.5345860719680786) (0.24496136605739594,0.08945824950933456) 0.1205139011144638 -0.3366952269575016 (3.284886360168457,1.8970592021942139) (0.32591041922569275,0.06952030956745148) 0.13105276226997375 -0.01917067101808112 (1.762321248970168,1.8078432853722186) (0,0) 1e-07 -0.21848975477840227 (1.7621064024783162,0.3020992533678463) (0,0) 1e-07 -0.21848975477840227 
3.25 (1.7969386577606201,1.0221927165985107) (0.12685681879520416,0.014458926394581795) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11348856013949311 (3.5894763469696045,0.206904798746109) (0.37507081031799316,-0.0791560709476471) 0.16762830317020416 -0.04928539206730481 (2.9808297157287598,0.5733422040939331) (0.2689913809299469,-0.06978541612625122) 0.15846817195415497 -0.3700872666708085 (2.939441680908203,1.5569506883621216) (0.24496133625507355,0.08945823460817337) 0.1205139011144638 -0.3366952269575016 (3.366364002227783,1.91443932056427) (0.32591044902801514,0.06952030211687088) 0.13105276226997375 -0.01917067101808112 (1.794048317164646,1.807959989180577) (0,0) 1e-07 -0.21848975477840227 (1.7938042718910963,0.30196130693473) (0,0) 1e-07 -0.21848975477840227 
3.5 (1.8284920454025269,1.025787115097046) (0.12621349096298218,0.014377755112946033) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11342719352275923 (3.683243989944458,0.18711577355861664) (0.37507086992263794,-0.07915607839822769) 0.16762830317020416 -0.04928539206730481 (3.0480775833129883,0.5558958649635315) (0.2689913511276245,-0.06978541612625122) 0.15846817195415497 -0.3700872666708085 (3.0006821155548096,1.5793153047561646) (0.24496135115623474,0.08945823460817337) 0.1205139011144638 -0.3366952269575016 (3.4478416442871094,1.9318194389343262) (0.32591041922569275,0.06952027976512909) 0.13105276226997375 -0.01917067101808112 (1.8256144992216334,1.8080761011906374) (0,0) 1e-07 -0.21848975477840227 (1.8253414197290714,0.3018240599482447) (0,0) 1e-07 -0.21848975477840227 
3.75 (1.8598676919937134,1.0293608903884888) (0.125502809882164,0.014295213855803013) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11341474022326972 (3.7770116329193115,0.16732676327228546) (0.37507086992263794,-0.0791560634970665) 0.16762830317020416 -0.04928539206730481 (3.115325450897217,0.5384495258331299) (0.2689913809299469,-0.06978542357683182) 0.15846817195415497 -0.3700872666708085 (3.061922550201416,1.601679801940918) (0.24496135115623474,0.08945822715759277) 0.1205139011144638 -0.3366952269575016 (3.5293192863464355,1.9491995573043823) (0.32591041922569275,0.0695202648639679) 0.13105276226997375 -0.01917067101808112 (1.8570028667740697,1.808191559133649) (0,0) 1e-07 -0.21848975477840227 (1.8567009196312738,0.30168758607047436) (0,0) 1e-07 -0.21848975477840227 
4.0 (1.8917802572250366,1.0330238342285156) (0.12765011191368103,0.014651610516011715) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11427935681453937 (3.870779275894165,0.14753775298595428) (0.37507081031799316,-0.0791560560464859) 0.16762830317020416 -0.04928539206730481 (3.1825733184814453,0.5210031867027283) (0.2689913511276245,-0.06978542357683182) 0.15846817195415497 -0.3700872666708085 (3.1231629848480225,1.624044418334961) (0.24496135115623474,0.08945825695991516) 0.1205139011144638 -0.3366952269575016 (3.6107969284057617,1.9665796756744385) (0.32591044902801514,0.0695202499628067) 0.13105276226997375 -0.01917067101808112 (1.8889284736922551,1.808308993240345) (0,0) 1e-07 -0.21848975477840227 (1.8885969399584213,0.30154877730142315) (0,0) 1e-07 -0.21848975477840227 
4.25 (1.9225878715515137,1.036603331565857) (0.12323062121868134,0.014317956753075123) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11566966085867236 (3.9645469188690186,0.1277487426996231) (0.37507086992263794,-0.0791560485959053) 0.16762830317020416 -0.04928539206730481 (3.249821186065674,0.5035568475723267) (0.2689913809299469,-0.06978543847799301) 0.15846817195415497 -0.3700872666708085 (3.184403419494629,1.646409034729004) (0.24496133625507355,0.08945824950933456) 0.1205139011144638 -0.3366952269575016 (3.692274570465088,1.983959674835205) (0.32591044902801514,0.06952022016048431) 0.13105276226997375 -0.01917067101808112 (1.919748837713075,1.8084223618577724) (0,0) 1e-07 -0.21848975477840227 (1.919388393452381,0.30141477551333307) (0,0) 1e-07 -0.21848975477840227 
4.5 (1.9519809484481812,1.0399904251098633) (0.11757247895002365,0.013548189774155617) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11472664629940887 (4.0405144691467285,0.11171632260084152) (0.30387037992477417,-0.06412968039512634) 0.16762830317020416 -0.04928539206730481 (3.3170690536499023,0.48611047863960266) (0.2689913511276245,-0.06978544592857361) 0.15846817195415497 -0.3700872666708085 (3.2456438541412354,1.6687736511230469) (0.24496135115623474,0.08945824950933456) 0.1205139011144638 -0.3366952269575016 (3.773752212524414,2.0013396739959717) (0.32591044902801514,0.0695202648639679) 0.13105276226997375 -0.01917067101808112 (1.9491539757208283,1.8085305247541916) (0,0) 1e-07 -0.21848975477840227 (1.9487661736152753,0.3012869259114065) (0,0) 1e-07 -0.21848975477840227 
4.75 (1.981174349784851,1.0433683395385742) (0.11677365005016327,0.013511531986296177) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11519477018056533 (4.100530624389648,0.09851984679698944) (0.24006544053554535,-0.05278591811656952) 0.16762830317020416 -0.04928539206730481 (3.384316921234131,0.46866410970687866) (0.2689913511276245,-0.06978544592857361) 0.15846817195415497 -0.3700872666708085 (3.306884288787842,1.6911382675170898) (0.24496133625507355,0.08945823460817337) 0.1205139011144638 -0.3366952269575016 (3.8552298545837402,2.0187196731567383) (0.32591041922569275,0.06952030956745148) 0.13105276226997375 -0.01917067101808112 (1.9783594071065347,1.8086379530563144) (0,0) 1e-07 -0.21848975477840227 (1.9779443219457613,0.30115994509024424) (0,0) 1e-07 -0.21848975477840227 
5.0 (2.0099024772644043,1.0466902256011963) (0.11491210758686066,0.01328766718506813) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11512202406033187 (4.151742458343506,0.08518493175506592) (0.20484790205955505,-0.05333966016769409) 0.16762830317020416 -0.04928539206730481 (3.4515647888183594,0.45121774077415466) (0.2689913809299469,-0.06978544592857361) 0.15846817195415497 -0.3700872666708085 (3.3681247234344482,1.7135028839111328) (0.24496133625507355,0.08945823460817337) 0.1205139011144638 -0.3366952269575016 (3.9367074966430664,2.036099672317505) (0.32591038942337036,0.06952038407325745) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.0066574490569304,0.301034988001898) (0,0) 1e-07 -0.21848975477840227 
5.25 (2.0382819175720215,1.0499707460403442) (0.11351808160543442,0.013122237287461758) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11508521748213835 (4.19589900970459,0.0685838907957077) (0.17662592232227325,-0.06640416383743286) 0.16762830317020416 -0.04928539206730481 (3.518812656402588,0.43377137184143066) (0.2689913809299469,-0.0697854533791542) 0.15846817195415497 -0.3700872666708085 (3.4293651580810547,1.7358675003051758) (0.24496136605739594,0.08945823460817337) 0.1205139011144638 -0.3366952269575016 (4.006252765655518,2.0509345531463623) (0.27818116545677185,0.05933930352330208) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
5.5 (2.066802501678467,1.0532580614089966) (0.11408215761184692,0.013149125501513481) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11475376411254797 (4.226996421813965,0.046360909938812256) (0.1243903636932373,-0.08889192342758179) 0.16762830317020416 -0.04928539206730481 (3.5860605239868164,0.41632500290870667) (0.2689913809299469,-0.0697854533791542) 0.15846817195415497 -0.3700872666708085 (3.490605592727661,1.7582321166992188) (0.24496136605739594,0.08945822715759277) 0.1205139011144638 -0.3366952269575016 (4.0633344650268555,2.063150405883789) (0.22832635045051575,0.04886322841048241) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
5.75 (2.095025062561035,1.0565009117126465) (0.1128905862569809,0.012971575371921062) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11440223897294334 (4.2359089851379395,0.029235446825623512) (0.035649873316287994,-0.06850185245275497) 0.16762830317020416 -0.04928539206730481 (3.653308391571045,0.39887863397598267) (0.2689913511276245,-0.06978544592857361) 0.15846817195415497 -0.3700872666708085 (3.5518460273742676,1.7805966138839722) (0.24496136605739594,0.08945821225643158) 0.1205139011144638 -0.3366952269575016 (4.114363670349121,2.0739588737487793) (0.20411664247512817,0.04323402792215347) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
6.0 (2.1220433712005615,1.059596061706543) (0.10807308554649353,0.012380465865135193) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11405921531980066 (4.242310047149658,0.014269881881773472) (0.025605183094739914,-0.05986225977540016) 0.16762830317020416 -0.04928539206730481 (3.7205562591552734,0.38143226504325867) (0.2689913809299469,-0.0697854533791542) 0.15846817195415497 -0.3700872666708085 (3.613086462020874,1.8029612302780151) (0.24496133625507355,0.08945825695991516) 0.1205139011144638 -0.3366952269575016 (4.162790298461914,2.0833756923675537) (0.1937064826488495,0.037667203694581985) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
6.25 (2.1490464210510254,1.062685251235962) (0.10801216214895248,0.012356774881482124) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11390649516190049 (4.246833801269531,0.0005466882139444351) (0.018094800412654877,-0.05489277467131615) 0.16762830317020416 -0.04928539206730481 (3.776296615600586,0.36697131395339966) (0.22296172380447388,-0.057843804359436035) 0.15846817195415497 -0.3700872666708085 (3.6743268966674805,1.825325846672058) (0.24496135115623474,0.08945824950933456) 0.1205139011144638 -0.3366952269575016 (4.210431098937988,2.0889229774475098) (0.19056235253810883,0.022189483046531677) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
6.5 (2.1757664680480957,1.0657368898391724) (0.10687986761331558,0.012206749990582466) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11371727125845002 (4.249929904937744,-0.01129311602562666) (0.012383880093693733,-0.04735921695828438) 0.16762830317020416 -0.04928539206730481 (3.8181018829345703,0.3561255931854248) (0.16722136735916138,-0.043382853269577026) 0.15846817195415497 -0.3700872666708085 (3.735567331314087,1.847690463066101) (0.24496136605739594,0.08945824205875397) 0.1205139011144638 -0.3366952269575016 (4.25324821472168,2.0790653228759766) (0.17126843333244324,-0.03943069279193878) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
6.75 (2.202313184738159,1.0687661170959473) (0.10618644207715988,0.012116992846131325) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11361909351258936 (4.251945972442627,-0.02074628323316574) (0.008063750341534615,-0.03781266510486603) 0.16762830317020416 -0.04928539206730481 (3.8494558334350586,0.34799131751060486) (0.125416100025177,-0.03253713250160217) 0.15846817195415497 -0.3700872666708085 (3.7968077659606934,1.8700549602508545) (0.24496136605739594,0.08945822715759277) 0.1205139011144638 -0.3366952269575016 (4.279200077056885,2.0537760257720947) (0.10380828380584717,-0.10115745663642883) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
7.0 (2.224353313446045,1.0712507963180542) (0.0881601870059967,0.009938674047589302) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11226029536870868 (4.253182888031006,-0.02796800434589386) (0.004946854431182146,-0.028886880725622177) 0.16762830317020416 -0.04928539206730481 (3.872971296310425,0.3418906033039093) (0.09406214952468872,-0.024402856826782227) 0.15846817195415497 -0.3700872666708085 (3.8497586250305176,1.8893922567367554) (0.2118036150932312,0.07734934240579605) 0.1205139011144638 -0.3366952269575016 (4.304005146026611,2.0299065113067627) (0.09922020882368088,-0.09547831118106842) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
7.25 (2.2462291717529297,1.073729395866394) (0.08750336617231369,0.009914265014231205) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11282040135019412 (4.253883361816406,-0.033345673233270645) (0.0028012904804199934,-0.021510669961571693) 0.16762830317020416 -0.04928539206730481 (3.890608072280884,0.33731508255004883) (0.07054668664932251,-0.01830214262008667) 0.15846817195415497 -0.3700872666708085 (3.8894717693328857,1.9038952589035034) (0.15885275602340698,0.05801204591989517) 0.1205139011144638 -0.3366952269575016 (4.325927257537842,2.0080440044403076) (0.08768843114376068,-0.08744962513446808) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
7.5 (2.2675082683563232,1.0761312246322632) (0.08511628210544586,0.009607170708477497) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11239543617396153 (4.259280681610107,-0.036887459456920624) (0.021588696166872978,-0.014167141169309616) 0.16762830317020416 -0.04928539206730481 (3.9038355350494385,0.3338834345340729) (0.052909910678863525,-0.013726621866226196) 0.15846817195415497 -0.3700872666708085 (3.9192566871643066,1.9147725105285645) (0.11913961172103882,0.043509043753147125) 0.1205139011144638 -0.3366952269575016 (4.342745780944824,1.9890753030776978) (0.06727372854948044,-0.07587480545043945) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
7.75 (2.288353681564331,1.078479528427124) (0.083381786942482,0.009393002837896347) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11217761270767321 (4.273019313812256,-0.03324643522500992) (0.054954104125499725,0.01456410065293312) 0.16762830317020416 -0.04928539206730481 (3.9137561321258545,0.3313096761703491) (0.03968244791030884,-0.010294973850250244) 0.15846817195415497 -0.3700872666708085 (3.9415953159332275,1.9229304790496826) (0.08935469388961792,0.03263179212808609) 0.1205139011144638 -0.3366952269575016 (4.354461669921875,1.9731316566467285) (0.0468631349503994,-0.06377451121807098) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
8.0 (2.3088362216949463,1.080783724784851) (0.08193042874336243,0.00921662151813507) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11202231263140522 (4.288234233856201,-0.018056269735097885) (0.06086038053035736,0.060760658234357834) 0.16762830317020416 -0.04928539206730481 (3.921196699142456,0.3293793797492981) (0.029761850833892822,-0.007721215020865202) 0.15846817195415497 -0.3700872666708085 (3.9583492279052734,1.9290488958358765) (0.06701606512069702,0.024473821744322777) 0.1205139011144638 -0.3366952269575016 (4.361987113952637,1.9600144624710083) (0.030102336779236794,-0.052468739449977875) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
8.25 (2.3289377689361572,1.0830261707305908) (0.08040640503168106,0.008969749324023724) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11109583276048186 (4.298586368560791,0.0022153258323669434) (0.0414092019200325,0.08108638226985931) 0.16762830317020416 -0.04928539206730481 (3.9267771244049072,0.32793164253234863) (0.02232128381729126,-0.0057909185998141766) 0.15846817195415497 -0.3700872666708085 (3.970914840698242,1.9336377382278442) (0.05026215314865112,0.01835540495812893) 0.1205139011144638 -0.3366952269575016 (4.366422176361084,1.9493788480758667) (0.017741063609719276,-0.042542360723018646) 0.13105276226997375 -0.01917067101808112 (2.0016961946242526,1.808723794331073) (0,0) 1e-07 -0.21848975477840227 (2.007771939163609,0.30103013783569416) (0,0) 1e-07 -0.21848975477840227 
